battingteam,bowlingteam,matchid,batsmanname,0
Chennai Super Kings,Rajasthan Royals,1136577,SW Billings,42.857142857142854
Chennai Super Kings,Rajasthan Royals,1136603,AT Rayudu,133.33333333333331
Chennai Super Kings,Rajasthan Royals,1136603,DJ Bravo,100.0
Chennai Super Kings,Rajasthan Royals,1136603,MS Dhoni,140.0
Chennai Super Kings,Rajasthan Royals,1136603,SK Raina,143.90243902439025
Chennai Super Kings,Rajasthan Royals,1136603,SR Watson,124.24242424242425
Chennai Super Kings,Rajasthan Royals,1136603,SW Billings,127.27272727272727
Chennai Super Kings,Rajasthan Royals,1175367,AT Rayudu,12.5
Chennai Super Kings,Rajasthan Royals,1175367,DJ Bravo,164.70588235294116
Chennai Super Kings,Rajasthan Royals,1175367,KM Jadhav,266.66666666666663
Chennai Super Kings,Rajasthan Royals,1175367,MS Dhoni,161.22448979591837
Chennai Super Kings,Rajasthan Royals,1175367,RA Jadeja,266.66666666666663
Chennai Super Kings,Rajasthan Royals,1175367,SK Raina,115.15151515151516
Chennai Super Kings,Rajasthan Royals,1175367,SR Watson,100.0
Chennai Super Kings,Rajasthan Royals,1178400,AT Rayudu,127.08333333333333
Chennai Super Kings,Rajasthan Royals,1178400,F du Plessis,70.0
Chennai Super Kings,Rajasthan Royals,1178400,KM Jadhav,16.666666666666664
Chennai Super Kings,Rajasthan Royals,1178400,MJ Santner,275.0
Chennai Super Kings,Rajasthan Royals,1178400,MS Dhoni,136.36363636363635
Chennai Super Kings,Rajasthan Royals,1178400,RA Jadeja,275.0
Chennai Super Kings,Rajasthan Royals,1178400,SK Raina,100.0
Chennai Super Kings,Rajasthan Royals,1178400,SR Watson,0.0
Chennai Super Kings,Rajasthan Royals,1216496,AS Raut,0.0
Chennai Super Kings,Rajasthan Royals,1216496,F du Plessis,384.2105263157895
Chennai Super Kings,Rajasthan Royals,1216496,KM Jadhav,282.3529411764706
Chennai Super Kings,Rajasthan Royals,1216496,M Vijay,209.52380952380955
Chennai Super Kings,Rajasthan Royals,1216496,MS Dhoni,341.1764705882353
Chennai Super Kings,Rajasthan Royals,1216496,RA Jadeja,100.0
Chennai Super Kings,Rajasthan Royals,1216496,SM Curran,566.6666666666667
Chennai Super Kings,Rajasthan Royals,1216496,SR Watson,323.8095238095238
Chennai Super Kings,Rajasthan Royals,1254069,AS Raut,76.92307692307693
Chennai Super Kings,Rajasthan Royals,1254069,AT Rayudu,170.58823529411765
Chennai Super Kings,Rajasthan Royals,1254069,DJ Bravo,275.0
Chennai Super Kings,Rajasthan Royals,1254069,F du Plessis,194.11764705882354
Chennai Super Kings,Rajasthan Royals,1254069,MM Ali,152.38095238095238
